Código Departamento;Código Municipio;Municipio;Departamento
52;022;ALDANA;Nariño
52;036;ANCUYA;Nariño
52;051;ARBOLEDA (BERRUECOS);Nariño
52;079;BARBACOAS;Nariño
52;083;BELEN;Nariño
52;110;BUESACO;Nariño
52;203;COLON (GENOVA);Nariño
52;207;CONSACA;Nariño
52;210;CONTADERO;Nariño
52;215;CORDOBA;Nariño
52;224;CUASPUD (CARLOSAMA);Nariño
52;227;CUMBAL;Nariño
52;233;CUMBITARA;Nariño
52;240;CHACHAGUI;Nariño
52;250;EL CHARCO;Nariño
52;254;EL PEÑOL;Nariño
52;256;EL ROSARIO;Nariño
52;258;EL TABLON;Nariño
52;260;EL TAMBO;Nariño
52;287;FUNES;Nariño
52;317;GUACHUCAL;Nariño
52;320;GUAITARILLA;Nariño
52;323;GUALMATAN;Nariño
52;352;ILES;Nariño
52;354;IMUES;Nariño
52;356;IPIALES;Nariño
52;378;LA CRUZ;Nariño
52;381;LA FLORIDA;Nariño
52;385;LA LLANADA;Nariño
52;390;LA TOLA;Nariño
52;399;LA UNION;Nariño
52;405;LEIVA;Nariño
52;411;LINARES;Nariño
52;418;LOS ANDES (SOTOMAYOR);Nariño
52;427;MAGUI (PAYAN);Nariño
52;435;MALLAMA (PIEDRANCHA);Nariño
52;473;MOSQUERA;Nariño
52;490;"OLAYA HERRERA (BOCAS
DE SATINGA)";Nariño
52;506;OSPINA;Nariño
52;520;"FRANCISCO PIZARRO
(SALAHONDA)";Nariño
52;540;POLICARPA;Nariño
52;560;POTOSI;Nariño
52;565;PROVIDENCIA;Nariño
52;573;PUERRES;Nariño
52;585;PUPIALES;Nariño
52;612;RICAURTE;Nariño
52;621;"ROBERTO PAYAN (SAN
JOSE)";Nariño
52;678;SAMANIEGO;Nariño
52;683;SANDONA;Nariño
52;685;SAN BERNARDO;Nariño
52;687;SAN LORENZO;Nariño
52;693;SAN PABLO;Nariño
52;694;SAN PEDRO DE CARTAGO;Nariño
52;696;"SANTA BARBARA
(ISCUANDE)";Nariño
52;699;SANTA CRUZ (GUACHAVES);Nariño
52;720;SAPUYES;Nariño
52;786;TAMINANGO;Nariño
52;788;TANGUA;Nariño
52;835;TUMACO;Nariño
52;838;TUQUERRES;Nariño
52;885;YACUANQUER;Nariño
54;001;CUCUTA;Norte de Santander
54;003;ABREGO;Norte de Santander
54;051;ARBOLEDAS;Norte de Santander
54;099;BOCHALEMA;Norte de Santander
54;109;BUCARASICA;Norte de Santander
54;125;CACOTA;Norte de Santander
54;128;CACHIRA;Norte de Santander
54;172;CHINACOTA;Norte de Santander
54;174;CHITAGA;Norte de Santander
54;206;CONVENCION;Norte de Santander
54;223;CUCUTILLA;Norte de Santander
54;239;DURANIA;Norte de Santander
54;245;EL CARMEN;Norte de Santander
54;250;EL TARRA;Norte de Santander
54;261;EL ZULIA;Norte de Santander
54;313;GRAMALOTE;Norte de Santander
54;344;HACARI;Norte de Santander
54;347;HERRAN;Norte de Santander
54;377;LABATECA;Norte de Santander
54;385;LA ESPERANZA;Norte de Santander
54;398;LA PLAYA;Norte de Santander
54;405;LOS PATIOS;Norte de Santander
54;418;LOURDES;Norte de Santander
54;480;MUTISCUA;Norte de Santander
54;498;OCAÑA;Norte de Santander
54;518;PAMPLONA;Norte de Santander
54;520;PAMPLONITA;Norte de Santander
54;553;PUERTO SANTANDER;Norte de Santander
54;599;RAGONVALIA;Norte de Santander
54;660;SALAZAR;Norte de Santander
54;670;SAN CALIXTO;Norte de Santander
54;673;SAN CAYETANO;Norte de Santander
54;680;SANTIAGO;Norte de Santander
54;720;SARDINATA;Norte de Santander
54;743;SILOS;Norte de Santander
54;800;TEORAMA;Norte de Santander
54;810;TIBU;Norte de Santander
54;820;TOLEDO;Norte de Santander
54;871;VILLACARO;Norte de Santander
54;874;VILLA DEL ROSARIO;Norte de Santander
63;001;ARMENIA;Quindio
63;111;BUENAVISTA;Quindio
63;130;CALARCA;Quindio
63;190;CIRCASIA;Quindio
63;212;CORDOBA;Quindio
63;272;FILANDIA;Quindio
63;302;GENOVA;Quindio
63;401;LA TEBAIDA;Quindio
63;470;MONTENEGRO;Quindio
63;548;PIJAO;Quindio
63;594;QUIMBAYA;Quindio
63;690;SALENTO;Quindio
66;001;PEREIRA;Risaralda
66;045;APIA;Risaralda
66;075;BALBOA;Risaralda
66;088;BELEN DE UMBRIA;Risaralda
66;170;DOS QUEBRADAS;Risaralda
66;318;GUATICA;Risaralda
66;383;LA CELIA;Risaralda
66;400;LA VIRGINIA;Risaralda
66;440;MARSELLA;Risaralda
66;456;MISTRATO;Risaralda
66;572;PUEBLO RICO;Risaralda
66;594;QUINCHIA;Risaralda
66;682;SANTA ROSA DE CABAL;Risaralda
66;687;SANTUARIO;Risaralda
68;001;BUCARAMANGA;Santander
68;013;AGUADA;Santander
68;020;ALBANIA;Santander
68;051;ARATOCA;Santander
68;077;BARBOSA;Santander
68;079;BARICHARA;Santander
68;081;BARRANCABERMEJA;Santander
68;092;BETULIA;Santander
68;101;BOLIVAR;Santander
68;121;CABRERA;Santander
68;132;CALIFORNIA;Santander
68;147;CAPITANEJO;Santander
68;152;CARCASI;Santander
68;160;CEPITA;Santander
68;162;CERRITO;Santander
68;167;CHARALA;Santander
68;169;CHARTA;Santander
68;176;CHIMA;Santander
68;179;CHIPATA;Santander
68;190;CIMITARRA;Santander
68;207;CONCEPCION;Santander
68;209;CONFINES;Santander
68;211;CONTRATACION;Santander
68;217;COROMORO;Santander
68;229;CURITI;Santander
68;235;EL CARMEN DE CHUCURY;Santander
68;245;EL GUACAMAYO;Santander
68;250;EL PEÑON;Santander
68;255;EL PLAYON;Santander
68;264;ENCINO;Santander
68;266;ENCISO;Santander
68;271;FLORIAN;Santander
68;276;FLORIDABLANCA;Santander
68;296;GALAN;Santander
68;298;GAMBITA;Santander
68;307;GIRON;Santander
68;318;GUACA;Santander
68;320;GUADALUPE;Santander
68;322;GUAPOTA;Santander
68;324;GUAVATA;Santander
68;327;GUEPSA;Santander
68;344;HATO;Santander
68;368;JESUS MARIA;Santander
68;370;JORDAN;Santander
68;377;LA BELLEZA;Santander
68;385;LANDAZURI;Santander
68;397;LA PAZ;Santander
68;406;LEBRIJA;Santander
68;418;LOS SANTOS;Santander
68;425;MACARAVITA;Santander
68;432;MALAGA;Santander
68;444;MATANZA;Santander
68;464;MOGOTES;Santander
68;468;MOLAGAVITA;Santander
68;498;OCAMONTE;Santander
68;500;OIBA;Santander
68;502;ONZAGA;Santander
68;522;PALMAR;Santander
68;524;PALMAS DEL SOCORRO;Santander
68;533;PARAMO;Santander
68;547;PIEDECUESTA;Santander
68;549;PINCHOTE;Santander
68;572;PUENTE NACIONAL;Santander
68;573;PUERTO PARRA;Santander
68;575;PUERTO WILCHES;Santander
68;615;RIONEGRO;Santander
68;655;SABANA DE TORRES;Santander
68;669;SAN ANDRES;Santander
68;673;SAN BENITO;Santander
68;679;SAN GIL;Santander
68;682;SAN JOAQUIN;Santander
68;684;SAN JOSE DE MIRANDA;Santander
68;686;SAN MIGUEL;Santander
68;689;SAN VICENTE DE CHUCURI;Santander
68;705;SANTA BARBARA;Santander
68;720;SANTA HELENA DEL OPON;Santander
68;745;SIMACOTA;Santander
68;755;SOCORRO;Santander
68;770;SUAITA;Santander
68;773;SUCRE;Santander
68;780;SURATA;Santander
68;820;TONA;Santander
68;855;VALLE SAN JOSE;Santander
68;861;VELEZ;Santander
68;867;VETAS;Santander
68;872;VILLANUEVA;Santander
68;895;ZAPATOCA;Santander
70;001;SINCELEJO;Sucre
70;110;BUENAVISTA;Sucre
70;124;CAIMITO;Sucre
70;204;COLOSO (RICAURTE);Sucre
70;215;COROZAL;Sucre
70;230;CHALAN;Sucre
70;235;"GALERAS (NUEVA
GRANADA)";Sucre
70;265;GUARANDA;Sucre
70;400;LA UNION;Sucre
70;418;LOS PALMITOS;Sucre
70;429;MAJAGUAL;Sucre
70;473;MORROA;Sucre
70;508;OVEJAS;Sucre
70;523;PALMITO;Sucre
70;670;SAMPUES;Sucre
70;678;SAN BENITO ABAD;Sucre
70;702;SAN JUAN DE BETULIA;Sucre
70;708;SAN MARCOS;Sucre
70;713;SAN ONOFRE;Sucre
70;717;SAN PEDRO;Sucre
70;742;SINCE;Sucre
70;771;SUCRE;Sucre
70;820;TOLU;Sucre
70;823;TOLUVIEJO;Sucre
73;001;IBAGUE;Tolima
73;024;ALPUJARRA;Tolima
73;026;ALVARADO;Tolima
73;030;AMBALEMA;Tolima
73;043;ANZOATEGUI;Tolima
73;055;ARMERO (GUAYABAL);Tolima
73;067;ATACO;Tolima
73;124;CAJAMARCA;Tolima
73;148;CARMEN APICALA;Tolima
73;152;CASABIANCA;Tolima
73;168;CHAPARRAL;Tolima
73;200;COELLO;Tolima
73;217;COYAIMA;Tolima
73;226;CUNDAY;Tolima
73;236;DOLORES;Tolima
73;268;ESPINAL;Tolima
73;270;FALAN;Tolima
73;275;FLANDES;Tolima
73;283;FRESNO;Tolima
73;319;GUAMO;Tolima
73;347;HERVEO;Tolima
73;349;HONDA;Tolima
73;352;ICONONZO;Tolima
73;408;LERIDA;Tolima
73;411;LIBANO;Tolima
73;443;MARIQUITA;Tolima
73;449;MELGAR;Tolima
73;461;MURILLO;Tolima
73;483;NATAGAIMA;Tolima
73;504;ORTEGA;Tolima
73;520;PALOCABILDO;Tolima
73;547;PIEDRAS;Tolima
73;555;PLANADAS;Tolima
73;563;PRADO;Tolima
73;585;PURIFICACION;Tolima
73;616;RIOBLANCO;Tolima
73;622;RONCESVALLES;Tolima
73;624;ROVIRA;Tolima
73;671;SALDAÑA;Tolima
73;675;SAN ANTONIO;Tolima
73;678;SAN LUIS;Tolima
73;686;SANTA ISABEL;Tolima
73;770;SUAREZ;Tolima
73;854;VALLE DE SAN JUAN;Tolima
73;861;VENADILLO;Tolima
73;870;VILLAHERMOSA;Tolima
73;873;VILLARRICA;Tolima
76;001;CALI (SANTIAGO DE CALI);Valle
76;020;ALCALA;Valle
76;036;ANDALUCIA;Valle
76;041;ANSERMANUEVO;Valle
76;054;ARGELIA;Valle
76;100;BOLIVAR;Valle
76;109;BUENAVENTURA;Valle
76;111;BUGA;Valle
76;113;BUGALAGRANDE;Valle
76;122;CAICEDONIA;Valle
76;126;CALIMA (DARIEN);Valle
76;130;CANDELARIA;Valle
76;147;CARTAGO;Valle
76;233;DAGUA;Valle
76;243;EL AGUILA;Valle
76;246;EL CAIRO;Valle
76;248;EL CERRITO;Valle
76;250;EL DOVIO;Valle
76;275;FLORIDA;Valle
76;306;GINEBRA;Valle
76;318;GUACARI;Valle
76;364;JAMUNDI;Valle
76;377;LA CUMBRE;Valle
76;400;LA UNION;Valle
76;403;LA VICTORIA;Valle
76;497;OBANDO;Valle
76;520;PALMIRA;Valle
76;563;PRADERA;Valle
76;606;RESTREPO;Valle
76;616;RIOFRIO;Valle
76;622;ROLDANILLO;Valle
76;670;SAN PEDRO;Valle
76;736;SEVILLA;Valle
76;823;TORO;Valle
76;828;TRUJILLO;Valle
76;834;TULUA;Valle
76;845;ULLOA;Valle
76;863;VERSALLES;Valle
76;869;VIJES;Valle
76;890;YOTOCO;Valle
76;892;YUMBO;Valle
76;895;ZARZAL;Valle
81;001;ARAUCA;Arauca
81;065;ARAUQUITA;Arauca
81;220;CRAVO NORTE;Arauca
81;300;FORTUL;Arauca
81;591;PUERTO RONDON;Arauca
81;736;SARAVENA;Arauca
81;794;TAME;Arauca
85;001;YOPAL;Casanare
85;010;AGUAZUL;Casanare
85;015;CHAMEZA;Casanare
85;125;HATO COROZAL;Casanare
85;136;LA SALINA;Casanare
85;139;MANI;Casanare
85;162;MONTERREY;Casanare
85;225;NUNCHIA;Casanare
85;230;OROCUE;Casanare
85;250;PAZ DE ARIPORO;Casanare
85;263;PORE;Casanare
85;279;RECETOR;Casanare
85;300;SABANALARGA;Casanare
85;315;SACAMA;Casanare
85;325;SAN LUIS DE PALENQUE;Casanare
85;400;TAMARA;Casanare
85;410;TAURAMENA;Casanare
85;430;TRINIDAD;Casanare
85;440;VILLANUEVA;Casanare
86;001;MOCOA;Putumayo
86;219;COLON;Putumayo
86;320;ORITO;Putumayo
86;568;PUERTO ASIS;Putumayo
86;569;PUERTO CAICEDO;Putumayo
86;571;PUERTO GUZMAN;Putumayo
86;573;PUERTO LEGUIZAMO;Putumayo
86;749;SIBUNDOY;Putumayo
86;755;SAN FRANCISCO;Putumayo
86;757;SAN MIGUEL (LA DORADA);Putumayo
86;760;SANTIAGO;Putumayo
86;865;"LA HORMIGA (VALLE DEL
GUAMUEZ)";Putumayo
86;885;VILLAGARZON;Putumayo
88;001;SAN ANDRES;San Andres
88;564;PROVIDENCIA;San Andres
91;001;LETICIA;Amazonas
91;263;EL ENCANTO;Amazonas
91;405;LA CHORRERA;Amazonas
91;407;LA PEDRERA;Amazonas
91;430;LA VICTORIA;Amazonas
91;460;MIRITI-PARANA;Amazonas
91;530;PUERTO ALEGRIA;Amazonas
91;536;PUERTO ARICA;Amazonas
91;540;PUERTO NARIÑO;Amazonas
91;669;PUERTO SANTANDER;Amazonas
91;798;TARAPACA;Amazonas
94;001;PUERTO INIRIDA;Guainia
94;343;BARRANCO MINAS;Guainia
94;883;SAN FELIPE;Guainia
94;884;PUERTO COLOMBIA;Guainia
94;885;LA GUADALUPE;Guainia
94;886;CACAHUAL;Guainia
94;887;"PANA PANA (CAMPO
ALEGRE)";Guainia
94;888;"MORICHAL (MORICHAL
NUEVO)";Guainia
95;001;SAN JOSE DEL GUAVIARE;Guaviare
95;015;CALAMAR;Guaviare
95;025;EL RETORNO;Guaviare
95;200;MIRAFLORES;Guaviare
97;001;MITU;Vaupes
97;161;CARURU;Vaupes
97;511;PACOA;Vaupes
97;666;TARAIRA;Vaupes
97;777;PAPUNAUA (MORICHAL);Vaupes
97;889;YAVARATE;Vaupes
99;001;PUERTO CARREÑO;Vichada
99;524;LA PRIMAVERA;Vichada
99;572;SANTA RITA;Vichada
99;666;SANTA ROSALIA;Vichada
99;760;SAN JOSE DE OCUNE;Vichada
99;773;CUMARIBO;Vichada
